Times	XFX-Tank-base 3.3	HX-TANK-base2.9	XJ-R1-Ñ¹Á¦	XJ-R2-Ñ¹Á¦	J-PTHC02A_P	J-HCXZ01Z_P	J-PTHC04A_P	J-PTHC05A_P	J-PTHC01A_P
10:55	2.396429062	3.399555922	0.751523793	3.934540987	22.23423195	23.69241714	21.78354645	23.35923386	21.10839462
100:00:00	2.372932434	3.399555922	0.744324803	4.011968613	22.37040901	23.83465385	21.93920708	23.45250893	21.23899841
100:05:00	2.40481925	3.399555922	0.723295391	4.021223068	20.67408371	22.55701256	20.27967262	22.17362785	19.62563324
100:10:00	2.436732054	3.399555922	0.703848422	4.0271492	19.76047897	21.44524956	19.32552719	21.05003929	18.65530205
100:15:00	2.467879772	3.399555922	0.686624825	4.034757614	19.8488369	21.48500443	19.40961266	21.09156036	18.73101616
100:20:00	2.500045776	3.399555922	0.671982825	4.041932583	19.92808723	21.49385452	19.48431396	21.12250328	18.81210327
100:25:00	2.532244205	3.399555922	0.637969375	4.043562412	20.93176842	22.45896339	20.48726845	22.11517906	19.80311584
100:30:00	2.563125849	3.399555922	0.629351318	4.055132866	20.70924759	22.16753769	20.27581596	21.82970238	19.59307289
100:35:00	2.593173981	3.399555922	0.636348784	4.061323166	20.1773262	21.63309288	19.73538971	21.32468224	19.05679703
100:40:00	2.623720884	3.399555922	0.638459384	4.072365761	21.39796638	22.78136063	20.96282005	22.47598267	20.28508186
100:45:00	2.653839111	3.399555922	0.635727227	4.078574657	21.19766426	22.67957306	20.76992989	22.36428642	20.1070652
100:50:00	2.685733557	3.399555922	0.640588999	4.087478638	20.90643311	22.21801949	20.46226311	21.9306221	19.78425217
100:55:00	2.717864037	3.399555922	0.642059028	4.097503662	21.59597206	22.97574234	21.15731621	22.66840553	20.48089409
101:00:00	2.75007391	3.399555922	0.648484588	4.105653286	22.6755619	24.04163742	22.25991249	23.74946785	21.56287384
101:05:00	2.780918121	3.399555922	0.657849789	4.114123344	21.63230515	23.28027344	21.20528793	22.97161484	20.52040482
101:10:00	2.780918121	3.399555922	0.655909002	4.124412537	21.81003952	23.28189659	21.37109184	22.98465729	20.68842316
101:15:00	2.780918121	3.399555922	0.661317229	4.130546093	21.90801048	23.57777596	21.4997139	23.26972389	20.81811333
101:20:00	2.780918121	3.399555922	0.659489393	4.134372234	21.53862762	23.2778244	21.14478111	22.97178078	20.51089668
101:25:00	2.780918121	3.399555922	0.651480615	4.147091389	21.51905823	23.26338577	21.12192345	22.95925522	20.47772026
101:30:00	2.780918121	3.399555922	0.664859772	4.159547329	21.29798698	23.0850029	20.90142441	22.76729774	20.23958778
